Sentence,Score,Stopword
"એક ખૂબ જ, ખૂબ, ખૂબ જ ધીમી ગતિએ ચાલતી, વ્યથિત, વહી જતા યુવાન વિશેની ધ્યેય વિનાની મૂવી",0,હે
"ખાતરી નથી કે કોણ વધુ ખોવાઈ ગયું - ફ્લેટ પાત્રો અથવા પ્રેક્ષકો, જેમાંથી લગભગ અડધા લોકો બહાર નીકળી ગયા",0,છુ
"બ્લેક એન્ડ વ્હાઇટ અને ચપળ કેમેરા એંગલ સાથે કલાત્મકતાનો પ્રયાસ કરીને, મૂવી નિરાશ થઈ - વધુ હાસ્યાસ્પદ બની - કારણ કે અભિનય નબળી હતો અને પ્લોટ અને રેખાઓ લગભગ અસ્તિત્વમાં નથી",0,છું
ખૂબ જ ઓછું સંગીત અથવા બોલવા માટે કંઈપણ,0,છે
મૂવીનો શ્રેષ્ઠ સીન ત્યારે હતો જ્યારે ગેરાર્ડો એક ગીત શોધવાનો પ્રયાસ કરી રહ્યો હતો જે તેના માથામાંથી વહેતું રહે છે,1,કે
બે કલાક બગાડ્યા,0,જો
"આજે ફિલ્મ જોઈ અને વિચાર્યું કે આ એક સારો પ્રયાસ છે, બાળકો માટે સારો સંદેશ છે",1,જી
થોડી ધારી,0,ને
વિજ્ઞાન શિક્ષક તરીકે જીમી બફેટનું કાસ્ટિંગ ગમ્યું,1,નાં
અને તે બાળક ઘુવડ આરાધ્ય હતા,1,નું
"મૂવીએ ઘણું બધું ફ્લોરિડા તેના શ્રેષ્ઠમાં દર્શાવ્યું, તેને ખૂબ જ આકર્ષક બનાવ્યું",1,ની
ગીતો શ્રેષ્ઠ હતા અને મપેટ્સ ખૂબ આનંદી હતા,1,નો
ઈટ વોઝ સો કૂલ,1,તો
"આ એક ખૂબ જ ""રાઇટ ઓન કેસ"" મૂવી છે જે તમારા ચહેરા પર બધું જ બરાબર પહોંચાડે છે",1,જો
"તેમાં મુખ્ય વ્યક્તિની કેટલીક સરેરાશ અભિનય હતી, અને તે ઓછું બજેટ હતું કારણ કે તમે સ્પષ્ટપણે જોઈ શકો છો",0,લેતા
"આ સમીક્ષા લાંબા સમયથી મુદતવીતી છે, કારણ કે હું અ ટેલ ઓફ ટુ સિસ્ટર્સને અત્યાર સુધીની સૌથી શ્રેષ્ઠ ફિલ્મ ગણું છું",1,શા
"હું આ રત્નને પટકથા, સિનેમેટોગ્રાફી, અભિનય, પોસ્ટ-પ્રોડક્શન, એડિટિંગ, દિગ્દર્શન અથવા ફિલ્મ-નિર્માણના અન્ય કોઈપણ પાસાઓના સંદર્ભમાં કોઈપણ મૂવી સામે મૂકીશ",1,હો
"તે બધામાં વ્યવહારીક રીતે સંપૂર્ણ છે ખોટી ""માસ્ટરપીસના સમુદ્રમાં એક સાચી માસ્ટરપીસ",1,હોઈ
સિનેમાના ઈતિહાસમાં આ ફિલ્મનું બંધારણ સહેલાઈથી સૌથી વધુ ચુસ્ત રીતે બાંધવામાં આવ્યું છે,1,મા
હું એવી બીજી કોઈ ફિલ્મ વિશે વિચારી શકતો નથી કે જ્યાં દર બીજી મિનિટે કંઈક મહત્ત્વપૂર્ણ બને,1,બધું
"બીજા શબ્દોમાં કહીએ તો, આ ફિલ્મનું કન્ટેન્ટ લેવલ અન્ય એક ડઝન ફિલ્મોને સરળતાથી ભરવા માટે પૂરતું છે",1,મી
"તે તદ્દન સરળ રીતે સિનેમાનું સર્વોચ્ચ, સૌથી ઉત્કૃષ્ટ સ્વરૂપ કલ્પના કરી શકાય તેવું છે",1,એન
"હા, આ ફિલ્મને પઝલ-સોલ્વિંગની નોંધપાત્ર માત્રાની જરૂર છે, પરંતુ સુંદર ચિત્ર બનાવવા માટે ટુકડાઓ એકસાથે બંધબેસે છે",1,તું
આ ટૂંકી ફિલ્મ ચોક્કસપણે કોઈ પંચ ખેંચતી નથી,0,છો
ગ્રાફિક્સ રમતના શ્રેષ્ઠ ભાગથી દૂર છે,0,છીએ
આ શ્રેણીની શ્રેષ્ઠ TH ગેમ છે,1,નં
તે મજબૂત પ્રેમને પાત્ર છે,1,એવો
તે એક પાગલ રમત છે,1,હોવા
આ રમત પર તમારા પૈસા બગાડો,1,તેથી
આ એક પ્રકારનું નાણું છે જે યોગ્ય રીતે વેડફાય છે,1,નું
"ખરેખર, તે સમયે ગ્રાફિક્સ સારા હતા",1,છ
આજે ગ્રાફિક્સ વાહિયાત છે,0,એવા
"જેમ કે તેઓ કેનેડામાં કહે છે, આ મજાની રમત છે, હા",1,એની
આ રમત રોકે છે,1,થતાં
"તેને ખરીદો, તેને રમો, તેનો આનંદ લો, તેને પ્રેમ કરો",1,જેવી
તે શુદ્ધ બ્રિલિયન્સ છે,1,બંને
આ તેની કલ્પનાથી વિનાશકારી ફ્લિક હતી,0,હશે
"તેનો ખૂબ જ વિચાર પાંગળો હતો - એક સામાન્ય PG-13 ફિલ્મમાંથી એક નાનકડું પાત્ર લો, અને તેનો ટોન બદલીને PG-રેટેડ ફેમિલી મૂવીમાં સંપૂર્ણ બિન-સિક્વલ બનાવો",0,માં
મને સહેજ પણ રસ નહોતો,0,ની
"તેણે માત્ર એ વાતની પુષ્ટિ કરી નથી કે આ ફિલ્મ અસાધારણ અને સામાન્ય હશે, પરંતુ તે આખી ફિલ્મને દૂર કરવામાં પણ વ્યવસ્થાપિત છે; અને હું અતિશયોક્તિ કરતો નથી - ટ્રેલરમાં દરેક ક્ષણ, દરેક પ્લોટ બિંદુ, દરેક મજાક કહેવામાં આવે છે",0,હતાં
પરંતુ તે માત્ર રમુજી નથી,0,તેવી
પરંતુ પ્રતિભાશાળી કેરેલ પણ આને બચાવી શકશે નહીં,0,થયો
"મોર્ગન ફ્રીમેન, જોનાહ હિલ અને એડ હેલ્મ્સ જેવા લોકો માત્ર વેડફાઇ જતી હોવાથી તેના સહ-સ્ટાર વધુ સારા નથી",0,એવી
વાર્તા પોતે માત્ર અનુમાનિત અને આળસુ છે,0,થી
"માત્ર વાસ્તવિક અસરોનું કાર્ય એ તમામ પ્રાણીઓની હાજરી છે, અને તે દ્રશ્યોમાં એકીકરણ એ મેં ક્યારેય જોયેલું સૌથી ખરાબ અને સૌથી સ્પષ્ટ વાદળી/લીલા-સ્ક્રીન કામ છે",0,થયું
"પરંતુ તે ગમે તે હતું કે જે તેમને ખૂબ ખર્ચ કરે છે, તે ગુણવત્તામાં ભાષાંતર કરતું નથી, તે ખાતરી માટે છે",0,ત્યાં
દેખીતી રીતે ઓછા બજેટ હોવા છતાં અથવા કદાચ તેના કારણે ફિલ્મ સફળ થાય છે,1,છતાં
"મને ખુશી છે કે ફિલ્મ સૌથી વધુ સ્પષ્ટ પસંદગી માટે નથી ગઈ, કારણ કે ઓછી ફિલ્મ ચોક્કસપણે હશે",1,તેઓ
"અત્યાર સુધીના સૌથી સુંદર ગીતોમાંથી એક સાથે, ફ્રેન્ચ કેનકેન સ્ક્રીન પર ગ્રેસ કરવા માટે અત્યાર સુધીની સૌથી સુંદર અગ્રણી મહિલાઓમાંની એકનું ગૌરવ પણ ધરાવે છે",1,તેમ
તે છોકરી સાથે પ્રેમમાં ન પડવું મુશ્કેલ છે,1,ને
"નકારાત્મક પર, તે સ્ક્રીનની સામે જીવનના બીજા 2 કલાક વેડફવા માટે અફસોસ પેદા કરવા માટે પૂરતું અસ્પષ્ટ છે",0,તેને
"લાંબુ, ઘોર અને અર્થહીન",0,હું
"પરંતુ હું તેમના ભાવિ પ્રયત્નોની રાહ જોવાની ભલામણ કરું છું, આને જવા દો",0,બાદ
"ઉત્તમ કાસ્ટ, સ્ટોરી લાઈન, પરફોર્મન્સ",1,શકે
તદ્દન વિશ્વાસપાત્ર,1,જો
એની હેચે સાવ ખાતરી હતી,1,રહી
સેમ શેપર્ડનું ગુંગ હો મરીનનું ચિત્રણ શાંત હતું,1,એમ
હું ટીવી સ્ક્રીન પર બેઠો હતો,1,તેના
મને લાગે છે કે ટોમ હેન્ક્સ એક સારો અભિનેતા છે,1,કરે
મારા બાળકો જ્યારે નાના હતા ત્યારે મને આ પુસ્તક વાંચવાની મજા આવતી,1,થઇ
હું ફિલ્મમાં ખૂબ જ નિરાશ થયો હતો,0,સુધી
એક પાત્ર એવા અવાજથી તદ્દન હેરાન છે જે મને ચૉકબોર્ડ પર નખનો અહેસાસ કરાવે છે,0,કોઈ
તદ્દન બિનજરૂરી ટ્રેન/રોલર કોસ્ટર દ્રશ્ય છે,0,ના
આ દ્રશ્યો અથવા પાત્રો માટે કોઈ હૂંફ અથવા વશીકરણ ન હતું,0,હવે
આ મૂવી મારા જ્ઞાનતંતુઓ પર સંપૂર્ણપણે ઝીણી ઝીણી છે,0,તેની
"ઇમ્પ્રૂવાઇઝેશન દ્વારા પર્ફોર્મન્સમાં સુધારો થતો નથી, કારણ કે કલાકારો પાસે હવે ચિંતા કરવાની બમણી છે: માત્ર તેઓ લાઇનને સારી રીતે પહોંચાડી રહ્યા છે કે કેમ, પરંતુ શું લાઈન પોતે સારી છે કે કેમ",0,ન
"અને, તદ્દન પ્રામાણિકપણે, ઘણી વખત તે ખૂબ સારું નથી",0,જે
ઘણીવાર સંવાદ ખરેખર એક લીટીથી બીજી લાઇનમાં અનુસરતો નથી અથવા આસપાસના વાતાવરણને અનુરૂપ નથી,0,તા
"તે એક અણધારી, જુવાન ઉર્જા સાથે ક્રેક કરે છે - પરંતુ પ્રામાણિકપણે, મને તેનું પાલન કરવું અને તેના પર ધ્યાન કેન્દ્રિત કરવું ખૂબ જ ખરાબ લાગ્યું",0,હોય
તેમાં સામાન્ય રીતે કેટલીક મહાન વસ્તુઓ છે,1,હતું
હું એમ નહિ કહું કે તેઓ તમારા સમયના 2 કલાકના મૂલ્યના છે,0,એ
"સસ્પેન્સ બિલ્ડરો સારા હતા, અને માત્ર G થી PG સુધીની લાઇન ક્રોસ કરો",1,કરી
"મને ખાસ કરીને માતાપિતા સાથે બિન-ક્લીચ પસંદગીઓ ગમતી હતી; અન્ય મૂવીમાં, હું સંવાદ શબ્દશઃ અનુમાન કરી શકતો હતો, પરંતુ આ મૂવીમાં લખાણ વધુ સારી પસંદગી કરે છે",1,તે
"જો તમને એવી મૂવી જોઈતી હોય કે જે ગ્રોસ ન હોય પરંતુ તમને થોડી ઠંડી આપે, તો આ એક શ્રેષ્ઠ પસંદગી છે",1,હતી
એલેક્ઝાન્ડર નેવસ્કી એક મહાન ફિલ્મ છે,1,માટે
"તે એક અદ્ભુત ફિલ્મ કલાકાર છે, જેઓ જીવ્યા છે તે સૌથી મહત્વપૂર્ણમાંના એક છે",1,તો
આ જો પ્રથમ મૂવી મેં 10 થી વર્ષોમાં આપી છે,1,જ
"જો ક્યારેય એવી કોઈ ફિલ્મ હોય કે જેને પ્રમોટ કરવા માટે શબ્દોની જરૂર હોય, તો તે આ છે",1,પણ
"એકંદરે, ફિલ્મ રસપ્રદ અને વિચારપ્રેરક છે",1,કે
"ઉપરાંત, તે સારી રીતે ચાલતું હતું અને તેના પ્રમાણમાં ટૂંકા સમય માટે અનુકૂળ હતું",1,આ
આ એક નજર આપો,1,અને
ધ વિન્ડ એન્ડ ધ લાયન સારી રીતે લખાયેલ છે અને શાનદાર અભિનય કર્યો છે,1,અમે
તે સાચી ક્લાસિક છે,1,તમે
